municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria,,
Madrid-Usera;05/03/2020 07:00;;0,72;;0,72;79612
Madrid-Puente de Vallecas;05/03/2020 07:00;;0,85;;0,85;79613
Madrid-San Blas - Canillejas;05/03/2020 07:00;;0,63;;0,63;79620
Madrid-Barajas;05/03/2020 07:00;;2,04;;2,04;79621
Madrid-Moratalaz;05/03/2020 07:00;;3,17;;3,17;79614
Madrid-Ciudad Lineal;05/03/2020 07:00;;1,39;;1,39;79615
La Cabrera;03/03/2020 07:00;;0;;0;0301,,
Madrid-Hortaleza;05/03/2020 07:00;;1,59;;1,59;79616
Madrid-Villaverde;05/03/2020 07:00;;1,34;;1,34;79617
Leganés;14/03/2020 07:00;58;30,55;58;30,55;745
Braojos;14/03/2020 07:00;;0;;0;0246,,
Cubas de la Sagra;14/03/2020 07:00;;0;;0;0506,,
Algete;14/03/2020 07:00;;24,26;;24,26;91
Mejorada del Campo;14/03/2020 07:00;6;25,78;6;25,78;843
Loeches;14/03/2020 07:00;;34,13;;34,13;758
Parla;14/03/2020 07:00;32;24,59;32;24,59;1065
Fuentidueña de Tajo;14/03/2020 07:00;;0;;0;0604,,
Ambite;14/03/2020 07:00;;0;;0;0112,,
Torremocha de Jarama;14/03/2020 07:00;;0;;0;1533,,
Anchuelo;14/03/2020 07:00;;78,68;;78,68;127
Los Molinos;14/03/2020 07:00;;68,35;;68,35;875
Soto del Real;14/03/2020 07:00;;11,36;;11,36;1441
Valverde de Alcalá;14/03/2020 07:00;;215,05;;215,05;1662
Fuente el Saz de Jarama;14/03/2020 07:00;;14,93;;14,93;590
Horcajo de la Sierra-Aoslos;14/03/2020 07:00;;689,66;;689,66;702
Valdeolmos-Alalpardo;14/03/2020 07:00;;0;;0;1625,,
Campo Real;14/03/2020 07:00;;0;;0;0339,,
Valdeavero;14/03/2020 07:00;;0;;0;1564,,
Villamanrique de Tajo;14/03/2020 07:00;;0;;0;1739,,
Cobeña;14/03/2020 07:00;6;80,78;6;80,78;416
Fresnedillas de la Oliva;14/03/2020 07:00;;0;;0;0565,,
Valdilecha;14/03/2020 07:00;;0;;0;1659,,
El Berrueco;14/03/2020 07:00;;0;;0;0210,,
Pezuela de las Torres;14/03/2020 07:00;;0;;0;1111,,
Villar del Olmo;14/03/2020 07:00;;0;;0;1795,,
Guadarrama;14/03/2020 07:00;;24,95;;24,95;685
San Martín de Valdeiglesias;14/03/2020 07:00;11;130,04;11;130,04;1338
Torrelodones;14/03/2020 07:00;10;42,16;10;42,16;1527
Boadilla del Monte;14/03/2020 07:00;22;40,32;23;42,15;225
Torrejón de Velasco;14/03/2020 07:00;;91,28;;91,28;1505
Villanueva de Perales;14/03/2020 07:00;;0;;0;1782,,
Tielmes;14/03/2020 07:00;;0;;0;1467,,
San Sebastián de los Reyes;14/03/2020 07:00;17;19,04;17;19,04;1343
Guadalix de la Sierra;14/03/2020 07:00;;0;;0;0679,,
Humanes de Madrid;14/03/2020 07:00;9;45,59;9;45,59;730
Cadalso de los Vidrios;14/03/2020 07:00;;0;;0;0318,,
Hoyo de Manzanares;14/03/2020 07:00;;11,86;;11,86;724
Torrejón de la Calzada;14/03/2020 07:00;;11,27;;11,27;1492
Estremera;14/03/2020 07:00;;0;;0;0552,,
Corpa;14/03/2020 07:00;;0;;0;0480,,
Meco;14/03/2020 07:00;18;125,83;18;125,83;838
Madarcos;14/03/2020 07:00;;0;;0;0783,,
Zarzalejo;14/03/2020 07:00;;0;;0;1837,,
Arganda del Rey;14/03/2020 07:00;13;23,47;13;23,47;148
Collado Mediano;14/03/2020 07:00;;28,74;;28,74;468
Daganzo de Arriba;14/03/2020 07:00;8;78,39;8;78,39;534
Manzanares El Real;14/03/2020 07:00;;22,62;;22,62;822
Buitrago del Lozoya;14/03/2020 07:00;;106,16;;106,16;278
Valdelaguna;14/03/2020 07:00;;0;;0;1570,,
Valdepiélagos;14/03/2020 07:00;;0;;0;1631,,
Casarrubuelos;14/03/2020 07:00;;26,47;;26,47;360
Miraflores de la Sierra;14/03/2020 07:00;;49,12;;49,12;856
Paracuellos de Jarama;14/03/2020 07:00;9;35,62;9;35,62;1049
El Vellón;14/03/2020 07:00;;0;;0;1684,,
Lozoya;14/03/2020 07:00;;172,12;;172,12;761
Collado Villalba;14/03/2020 07:00;21;32,98;21;32,98;474
Colmenarejo;14/03/2020 07:00;;10,95;;10,95;442
Villavieja del Lozoya;14/03/2020 07:00;;0;;0;1821,,
Prádena del Rincón;14/03/2020 07:00;;0;;0;1179,,
La Cabrera;14/03/2020 07:00;;0;;0;0301,,
Sevilla la Nueva;14/03/2020 07:00;;32,2;;32,2;1415
La Acebeda;14/03/2020 07:00;;0;;0;0014,,
Redueña;14/03/2020 07:00;;0;;0;1219,,
Robledillo de la Jara;14/03/2020 07:00;;0;;0;1245,,
La Serna del Monte;14/03/2020 07:00;;0;;0;1381,,
Colmenar de Oreja;14/03/2020 07:00;;24,9;;24,9;437
Rozas de Puerto Real;14/03/2020 07:00;;0;;0;1283,,
Valdemanco;14/03/2020 07:00;;0;;0;1586,,
Brunete;14/03/2020 07:00;;18,63;;18,63;262
Titulcia;14/03/2020 07:00;;76,16;;76,16;1473
Villa del Prado;14/03/2020 07:00;;30,67;;30,67;1718
Lozoyuela-Navas-Sieteiglesias;14/03/2020 07:00;;0;;0;9015,,
Quijorna;14/03/2020 07:00;;0;;0;1198,,
Valdemoro;14/03/2020 07:00;244;321,12;244;321,12;1610
Tres Cantos;14/03/2020 07:00;12;25,15;12;25,15;9036
Torrelaguna;14/03/2020 07:00;;42,02;;42,02;1512
Ribatejada;14/03/2020 07:00;;0;;0;1224,,
Rivas-Vaciamadrid;14/03/2020 07:00;26;29,5;26;29,5;1230
El Atazar;14/03/2020 07:00;;0;;0;0164,,
Pedrezuela;14/03/2020 07:00;;0;;0;1087,,
Santa María de la Alameda;14/03/2020 07:00;;0;;0;1356,,
Horcajuelo de la Sierra;14/03/2020 07:00;;0;;0;0719,,
Arroyomolinos;14/03/2020 07:00;;12,74;;12,74;151
Moralzarzal;14/03/2020 07:00;;15,35;;15,35;908
Canencia;14/03/2020 07:00;;0;;0;0344,,
Villarejo de Salvanés;14/03/2020 07:00;;27,27;;27,27;1809
Serranillos del Valle;14/03/2020 07:00;;48,02;;48,02;1408
Villaviciosa de Odón;14/03/2020 07:00;;14,37;;14,37;1816
Camarma de Esteruelas;14/03/2020 07:00;;54,53;;54,53;323
Robledo de Chavela;14/03/2020 07:00;;23,42;;23,42;1258
Patones;14/03/2020 07:00;;0;;0;1071,,
Navalagamella;14/03/2020 07:00;;76,63;;76,63;954
Rascafría;14/03/2020 07:00;;0;;0;1202,,
El Boalo;14/03/2020 07:00;;13,32;;13,32;231
Majadahonda;14/03/2020 07:00;30;41,77;30;41,77;800
Batres;14/03/2020 07:00;;59,38;;59,38;170
Alcobendas;14/03/2020 07:00;34;29,05;35;29,9;66
Alcalá de Henares;14/03/2020 07:00;289;147,71;289;147,71;53
Colmenar Viejo;14/03/2020 07:00;15;29,56;15;29,56;455
San Fernando de Henares;14/03/2020 07:00;16;40,58;16;40,58;1300
Villalbilla;14/03/2020 07:00;12;86,47;12;86,47;1723
El Escorial;14/03/2020 07:00;;12,37;;12,37;549
Colmenar del Arroyo;14/03/2020 07:00;;57,97;;57,97;421
Torrejón de Ardoz;14/03/2020 07:00;159;121,03;161;122,55;1489
Piñuécar-Gandullas;14/03/2020 07:00;;0;;0;1147,,
Brea de Tajo;14/03/2020 07:00;;0;;0;0259,,
El Molar;14/03/2020 07:00;;11,19;;11,19;869
Belmonte de Tajo;14/03/2020 07:00;;0;;0;0199,,
Torres de la Alameda;14/03/2020 07:00;;64,28;;64,28;1548
Somosierra;14/03/2020 07:00;;0;;0;1436,,
Alpedrete;14/03/2020 07:00;11;75,47;11;75,47;105
Orusco de Tajuña;14/03/2020 07:00;;0;;0;1028,,
Cervera de Buitrago;14/03/2020 07:00;;0;;0;0395,,
Getafe;14/03/2020 07:00;55;29,99;55;29,99;650
Villaconejos;14/03/2020 07:00;;29,52;;29,52;1701
Valdetorres de Jarama;14/03/2020 07:00;;22,24;;22,24;1646
Madrid-Retiro;13/03/2020 07:00;97;81,3;97;81,3;79603
Madrid-Salamanca;13/03/2020 07:00;53;36,28;53;36,28;79604
Madrid-Centro;13/03/2020 07:00;52;38,56;53;39,3;79601
Madrid-Arganzuela;13/03/2020 07:00;47;30,56;47;30,56;79602
Madrid-Chamartin;13/03/2020 07:00;79;54,17;79;54,17;79605
Madrid-Tetuan;13/03/2020 07:00;141;89,23;142;89,86;79606
Madrid-Chamberi;13/03/2020 07:00;52;37,31;52;37,31;79607
Madrid-Fuencarral-El Pardo;13/03/2020 07:00;163;66,28;163;66,28;79608
Madrid-Moncloa-Aravaca;13/03/2020 07:00;46;38,52;46;38,52;79609
Madrid-Latina;13/03/2020 07:00;120;50,37;120;50,37;79610
